grid_cell,n,snowshoe_hare,bobcat,striped_skunk,mule_deer,eastern_gray_squirrel,eastern_chipmunk,douglas_s_squirrel,red_squirrel,grey_fox,american_black_bear,red_fox
1,389,0,0,0,0,0,0,0,0,0,0,0
2,45,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0
9,8,0,0,0,0,0,0,0,0,0,0,0
12,16,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0
17,5,0,0,0,0,0,0,0,0,0,0,0
24,1015,0,0,0,0,0,0,0,0,0,0,0
25,11,0,0,0,0,0,0,0,0,0,0,0
26,938,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0,1
28,61,0,0,0,0,0,0,0,0,0,0,1
29,4,0,0,0,0,0,0,0,0,0,0,4
31,58,0,0,0,0,0,0,0,0,0,0,0
37,2,0,0,0,0,0,0,0,0,0,0,0
38,15,0,0,0,0,0,0,0,0,0,0,0
39,4,0,0,0,0,0,0,0,0,0,0,0
41,4377,0,0,0,0,0,0,0,0,0,0,0
43,4,0,0,0,0,0,0,0,0,0,0,0
44,121,0,0,0,0,0,0,0,0,0,0,0
45,35,0,0,0,0,0,0,0,0,0,0,0
46,172,0,0,0,0,0,0,0,0,0,0,0
55,8,0,0,0,0,0,0,0,0,0,0,0
56,3,0,0,0,0,0,0,0,0,0,0,0
58,2,0,0,0,0,0,0,0,0,0,0,0
59,1,0,0,0,0,0,0,0,0,0,0,0
60,4,0,0,0,0,0,0,0,0,0,0,3
61,138,0,0,0,0,0,0,0,0,0,0,0
62,37,0,0,0,0,0,0,0,0,0,0,0
64,297,6,0,0,0,0,0,0,0,0,0,29
65,74,0,0,0,0,0,0,0,0,0,0,0
66,5,0,0,0,0,0,0,0,0,0,0,0
67,166,0,0,0,0,0,0,0,0,0,0,0
68,89,0,0,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,0,0,0,0,0
73,8,1,0,0,0,0,0,0,0,0,0,0
75,1,0,0,0,0,0,0,0,0,0,0,1
77,187,0,0,0,0,0,0,0,0,0,0,4
79,111,0,0,0,0,0,0,0,0,0,0,0
82,27,0,0,0,0,0,0,0,0,0,0,0
84,60,0,0,0,0,0,0,0,0,0,0,0
85,6,0,0,0,0,0,0,0,0,0,0,0
86,46,0,0,0,0,0,0,0,0,0,0,0
90,2,0,0,0,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0,0,0,0
92,5,0,0,0,0,0,0,0,0,0,0,0
95,4,0,0,0,0,0,0,0,0,0,0,2
97,68,0,0,0,0,0,0,0,0,0,0,20
98,27,0,0,0,0,0,0,0,0,0,0,3
99,301,0,0,0,0,0,0,0,0,0,0,0
100,118,0,0,0,0,0,0,0,0,0,0,0
102,1,0,0,0,0,0,0,0,0,0,0,0
105,234,0,0,0,0,0,0,0,1,0,0,0
106,1055,1,0,0,0,0,0,0,3,0,0,0
107,113,0,0,0,0,0,0,0,0,0,0,0
108,30,0,0,0,0,0,0,0,0,0,0,0
113,9,0,0,0,0,0,0,0,0,0,0,0
116,4,0,0,0,0,0,0,0,0,0,0,1
117,23,0,0,0,0,0,0,0,0,0,0,8
118,52,0,0,0,0,0,0,0,0,0,0,2
119,354,0,0,0,0,0,0,0,0,0,0,0
120,13,0,0,0,0,0,0,0,0,0,0,0
122,19,0,0,0,0,0,0,0,0,0,0,0
126,18,0,0,0,0,0,0,0,0,0,0,2
127,1,0,0,0,0,0,0,0,0,0,0,0
128,18,0,0,0,0,0,0,0,0,0,0,0
129,193,0,0,0,0,0,0,0,0,0,0,0
130,34,0,0,0,0,0,0,0,0,0,0,0
131,269,0,0,0,0,0,0,0,0,0,0,0
132,171,0,0,0,0,0,0,0,0,0,0,0
136,2,0,0,0,0,0,0,0,0,0,0,0
137,28,0,0,0,0,0,0,0,0,0,0,9
138,9,0,0,0,0,0,0,0,0,0,0,1
140,1,0,0,0,0,0,0,0,0,0,0,0
143,4,0,0,0,0,0,0,0,0,0,0,3
147,173,0,0,0,0,0,0,0,0,0,0,0
151,301,0,0,0,0,0,0,0,0,0,0,0
152,12,0,0,0,0,0,0,0,0,0,0,0
154,87,0,0,0,0,0,0,0,0,0,0,0
156,4,0,0,0,0,0,0,0,0,0,0,0
158,221,0,0,0,0,0,0,0,0,0,0,0
159,134,0,0,0,0,0,0,0,0,0,0,4
164,2,0,0,0,0,0,0,0,0,0,0,0
170,1,0,0,0,0,0,0,0,0,0,0,0
173,110,0,0,0,0,0,0,0,0,0,0,0
174,556,0,0,0,0,0,0,0,1,0,0,0
175,319,0,0,0,0,0,0,0,0,0,0,0
178,196,0,0,0,0,0,0,0,0,0,0,0
179,5,0,0,0,0,0,0,0,0,0,0,0
180,1162,0,0,0,0,0,0,0,0,0,0,0
181,3,0,0,0,0,0,0,0,0,0,0,0
183,117,0,0,0,0,0,0,0,0,0,0,0
184,1,0,0,0,0,0,0,0,0,0,0,0
185,1,0,0,0,0,0,0,0,0,0,0,0
186,50,0,0,0,0,0,0,0,0,0,0,0
187,109,0,0,0,0,0,0,0,0,0,0,0
188,5,0,0,0,0,0,0,0,0,0,0,0
195,5,0,0,0,0,0,0,0,3,0,0,0
197,186,0,0,0,0,0,0,0,0,0,0,0
199,4,0,0,0,0,0,0,0,0,0,0,0
200,15,0,0,0,0,0,0,0,0,0,0,0
201,4,0,0,0,0,0,0,0,0,0,0,0
202,1,0,0,0,0,0,0,0,0,0,0,0
206,38,0,0,0,0,0,0,0,0,0,0,0
207,313,0,0,0,0,0,0,0,5,0,0,0
208,7,0,0,0,0,0,0,0,0,0,0,0
209,3,0,0,0,0,0,0,0,0,0,0,0
214,80,0,0,0,0,0,0,0,0,0,0,0
219,123,0,0,0,0,0,0,0,0,0,0,0
220,2,0,0,0,0,0,0,0,0,0,0,0
222,1,0,0,0,0,0,0,0,0,0,0,0
226,1,0,0,0,0,0,0,0,0,0,0,0
229,2,0,0,0,0,0,0,0,0,0,0,0
230,7,0,0,0,0,0,0,0,0,0,0,0
231,2,0,0,0,0,0,0,0,0,0,0,0
236,1792,0,0,0,0,0,0,0,0,0,0,0
237,51,0,0,0,0,0,0,0,0,0,0,0
238,8,0,0,0,0,0,0,0,0,0,0,0
239,4,0,0,0,0,0,0,0,0,0,1,1
240,1,0,0,0,0,0,0,0,0,0,0,0
241,3,0,0,0,0,0,0,0,0,0,0,0
243,66,0,0,0,0,0,0,0,1,0,0,0
247,12,0,0,0,0,0,0,0,0,0,0,0
248,19,0,0,0,0,0,0,0,0,0,0,0
254,41,0,0,0,0,0,0,0,0,0,0,0
264,4,0,0,0,0,0,0,0,1,0,0,0
266,1,0,0,0,0,0,0,0,0,0,0,0
268,2,0,0,0,0,0,0,0,0,0,0,0
269,196,0,0,0,0,0,0,0,0,0,1,0
273,10,0,0,0,0,0,0,0,0,0,0,0
274,68,0,0,0,0,0,0,0,2,0,0,0
275,53,0,0,0,0,0,0,0,0,0,0,0
276,1,0,0,0,0,0,0,0,0,0,0,0
277,1,0,0,0,0,0,0,0,0,0,0,0
307,1,0,0,0,0,0,0,0,0,0,0,0
309,9,0,0,0,0,0,0,0,0,0,0,0
310,34,0,0,0,0,0,0,0,0,0,2,1
311,1,0,0,0,0,0,0,0,0,0,0,0
312,17,0,0,0,0,0,0,0,0,0,0,0
313,77,0,0,0,0,0,0,0,4,0,0,0
