Common name,Sci name,Other common names,Other sci name,Order,Family,Countries,In US?,Big enough?,Use for iSDM,GBIF records 31-May-23,iNat records 31-May-23,Cam sites,Cam records,GBIF notes,iNat notes,Cam notes,Max confusion score?,Overlapping with confused spec?,Assigned to undergrads?
Moose,Alces alces,Elk|Eurasian Elk|Caucasian Moose,Alces americanus,ARTIODACTYLA,CERVIDAE,Germany|Czech Republic|Slovakia|Belarus|Croatia|Hungary|Moldova|Romania|Poland|Ukraine|Norway|Sweden|Finland|Estonia|Latvia|Lithuania|Russia|Kazakhstan|Mongolia|China|Alaska|Canada|United States,Yes,Yes,Yes,845,15391,,,"Also lists ""Alces americanus"" but I replaced in R with ""Alces alces""",,,1,NA,TRUE
Pronghorn,Antilocapra americana,Prongbuck|Antelope|Sonoran Pronghorn,,ARTIODACTYLA,ANTILOCAPRIDAE,Canada|United States|Mexico,Yes,Yes,Yes,495,8700,,1105,,,,1,NA,TRUE
Muskox,Ovibos moschatus,,,ARTIODACTYLA,BOVIDAE,Alaska|Canada|Greenland,No,Yes,,41,386,,,,,,1,NA,TRUE
Thinhorn Sheep,Ovis dalli,Alaskan White Sheep|Dall's Sheep|Stone's Sheep|Fannin's Sheep,,ARTIODACTYLA,BOVIDAE,Alaska|Canada,No,Yes,,196,733,0,0,,,,2,NA,TRUE
Wapiti,Cervus canadensis,Elk|Alashan Wapiti (Elk)|Izubra|Manchurian Wapiti (Elk)|Merriam's Wapiti (Elk)|Tule Elk|Sichuan Shou|Macneill's Red Deer|Tibetan Shou|Rocky Mountain Wapiti (Elk)|Roosevelt's Wapiti (Elk)|Altai Wapiti (Elk),Cervus elaphus,ARTIODACTYLA,CERVIDAE,Kazakhstan|Kyrgyzstan|Russia|Mongolia|China|Bhutan|Canada|United States,Yes,Yes,Yes,912,19464,,,"Listed as ""Cervus elaphus""","Lists ""Cervus elaphus"" but they are in Texas (so not Elk)","Listed as both ""Cervus elaphus"" and ""Cervus canadensis""",1,NA,TRUE
Collared Peccary,Dicotyles tajacu,Javelina,Pecari tajacu,ARTIODACTYLA,TAYASSUIDAE,United States|Mexico|Belize|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama|Colombia|Venezuela|Trinidad & Tobago|Guyana|Suriname|French Guiana|Ecuador|Peru|Bolivia|Brazil|Paraguay|Argentina,Yes,Yes,Yes,600,6301,,,"Listed as ""Pecari tajacu""","Listed as ""Pecari tajacu""","Listed as ""Pecari tajacu""",2,NA,TRUE
Mexican Red Brocket,Mazama temama,Central American Red Brocket,,ARTIODACTYLA,CERVIDAE,Mexico|Belize|Honduras|Guatemala|El Salvador|Nicaragua|Costa Rica|Panama|Colombia,No,Yes,,2,188,,,,,,NA,TRUE,TRUE
Mule Deer,Odocoileus hemionus,Black-tailed Deer,,ARTIODACTYLA,CERVIDAE,Alaska|Canada|United States|Mexico,Yes,Yes,Yes,2083,69141,,,,,,2,NA,TRUE
Yucatan Brown Brocket,Odocoileus pandora,,,ARTIODACTYLA,CERVIDAE,Mexico|Guatemala?|Belize?,No,Yes,,13,32,,,"Listed as ""Mazama pandora""",,,NA,NA,TRUE
White-tailed Deer,Odocoileus virginianus,Florida Key Deer,,ARTIODACTYLA,CERVIDAE,Canada|United States|Mexico|Guatemala|Belize|Honduras|El Salvador|Nicaragua|Costa Rica|Panama|Colombia|Venezuela|Guyana|Suriname|French Guiana|Brazil|Ecuador|Peru,Yes,Yes,Yes,4716,135326,,,No records in Canada for some reason,,,2,NA,TRUE
Rocky Mountain Goat,Oreamnos americanus,Mountain Goat|Snow Goat|White Goat,,ARTIODACTYLA,BOVIDAE,Alaska|Canada|United States,Yes,Yes,Yes,770,3323,0,0,,,,1,NA,TRUE
Bighorn Sheep,Ovis canadensis,"Mountain Sheep|Audubon Bighorn|California Bighorn|Desert Bighorn Sheep|Rocky Mountain Bighorn Sheep|Nelson's Bighorn Sheep|Mexican, Peninsular Bighorn Sheep|Weems's Bighorn Sheep|Sierra Nevada Bighorn Sheep",,ARTIODACTYLA,BOVIDAE,Canada|United States|Mexico,Yes,Yes,Yes,770,12114,0,0,,,,2,NA,TRUE
Caribou,Rangifer tarandus,Reindeer,,ARTIODACTYLA,CERVIDAE,Norway|Finland|Russia|Mongolia|Alaska|Canada|Greenland|United States,Yes,Yes,Yes,1656,1748,0,0,,,,1,NA,TRUE
